"V1" "V2" "V3" "V4" "V5"
"1" 0.473859196938886 0.213441319962644 0.332920455559554 0.24456444543882 0.472445014495251
"2" 0.466658485035296 0.425274242038249 0.222549308395358 0.4693070476145 0.557349211136051
"3" 0.533599779368616 0.511723688925485 0.480187806004257 0.185616973759592 0.330182434041187
"4" 0.489973999493101 0.271107687068706 0.332920455559554 0.312169295689367 0.495361409901701
"5" 0.598341400843576 0.511723688925485 0.780067392256001 0.711592112488514 0.442454230603938
"6" 0.500954180003135 0.407453688485127 0.467668195408478 0.525004083394931 0.454018313634348
"7" 0.355370012114413 0.336904728019516 0.204936579475195 0.24456444543882 0.531352410068775
"8" 0.598341400843576 0.573788639810135 0.389204174138091 0.661580758628191 0.368341668803934
"9" 0.454218515880078 0.533554906071873 0.609965132375215 0.919487860643231 0.359041127105436
"10" 0.160988841289785 0.40034509107192 0.318214799365526 0.661580758628191 0.551267971195431
"11" 0.480878262854913 0.475527301789254 0.480187806004257 0.185616973759592 0.527690175892931
"12" 0.590285823492515 0.759729387463796 0.480187806004257 0.312169295689367 0.42030780966658
"13" 0.498790967464507 0.302112719556456 0.0776564421486318 0.525004083394931 0.80474814649078
"14" 0.598341400843576 0.64388359170136 0.686602297024273 0.362871463542115 0.155809867171539
"15" 0.366663952525365 0.0809670752523563 0.375477582529469 0.423115201575579 0.377235248963994
"16" 0.489973999493101 0.407453688485127 0.375477582529469 0.312169295689367 0.426749033974099
"17" 0.500954180003135 0.309043303304872 0.686602297024273 0.568173271239157 0.596753280185285
"18" 0.397423895105617 0.128076248503143 0.361532418103105 0.423115201575579 0.544071684642642
"19" 0.513611895802722 0.500839531623054 0.429206190859106 0.620647758203949 0.577786541575609
"20" 0 0.180151146106566 0.332920455559554 0.362871463542115 0.125401914018487
"21" 0.652939984938224 0.911595293833664 0.686602297024273 0.362871463542115 0.407688120817611
"22" 0.302503197587319 0 0.332920455559554 0.185616973759592 0.163169611058045
"23" 0.456752838310679 0.57745928320302 0.303211813098299 0.525004083394931 0.567259116914182
"24" 0.500954180003135 0.70345777489265 0.389204174138091 0.24456444543882 0.520122403862561
